date,format,content,post_url,status
2026-06-30,tease-tomorrow,"demain. nous publions ce qu'on a trouvé. | 1590. Roanoke. 115 disparus. un seul mot gravé dans un arbre. | on a retracé leur chemin.",https://www.youtube.com/post/UgkxXQUyjChzCTgMCqrzBG9sZL4aLINR-yF_,posted
2026-07-01,theory-poll,"115 people. one word left behind: CROATOAN. the palisade wasn't burned, it was taken apart -- someone had time. | what's your read? | poll: absorbed into the Croatoan/Hatteras people / moved inland, and the Powhatan found them first / tried the return voyage, lost to the Atlantic / relocated to the Chesapeake -- and erased there instead",,pending_post
2026-07-02,detail-crop,"no blood. no wreckage. just this. | CROATOAN -- carved clean, at eye height, on the post nearest the gate, no distress marks around it. | the full breakdown is in Tuesday's video.",,pending_post
2026-07-03,long-drop,"new one. 1900. Flannan Isles. | three keepers manning a light that had never gone dark in its history -- then it did, and none of them were ever found. | the full breakdown is up now.",,pending_post
2026-07-04,tease-tomorrow,"tomorrow: five planes, twenty-seven men, clear skies. | December 5, 1945 -- Flight 19 climbs out of Fort Lauderdale on a routine run and never comes back. no wreckage, no oil slick, no bodies. the Navy's file closes on two words: cause unknown. | full breakdown up tomorrow.",,pending_post
2026-07-05,reader-pick,"the read of the week: @GrantMackay-wm1pe, on the Mary Celeste short. | the 2006 UCL flash-over test settles the chemistry -- what it doesn't settle is why a crew confident enough to abandon a sound ship never came back once the vapour cleared. | that gap is still open. thank you for handing it to us straight.",,pending_post
2026-07-06,behind-scenes,"the board is up for tuesday. | one fingerprint card, pinned dead-center -- it's what got a suspect cleared in 1971, and the case went cold for 49 years after. | full breakdown tuesday.",,pending_post
2026-07-08,theory-poll,"one fingerprint cleared him in 1971 -- the case then sat cold for 49 years, until amateur codebreakers cracked the Z340 cipher in December 2020, not the police. | did they already have him? | poll: the print was mishandled -- Arthur Leigh Allen was Zodiac / he was a convenient local suspect, never the killer / solvable in '71, they just lacked the tools we have now / the letters and the killings don't all trace back to one man",,pending_post
2026-07-12,reader-pick,"still the read of note: @GrantMackay-wm1pe, on the Mary Celeste short -- no new comment topped it this week. | the 2006 UCL flash-over test nails the chemistry, but it doesn't explain why a crew that trusted the hull enough to survive the vapour never reboarded once it cleared. | that gap is why we keep coming back to this one.",,pending_post
2026-07-13,behind-scenes,"the board is up for tuesday. | a glass vial, a single lock of hair -- Nuremberg, 1828, and the question of who he really was. | tested twice. two different answers. full breakdown tuesday.",,pending_post
2026-07-15,theory-poll,"three DNA tests, three custodians of the story: 1996 said no match, 2002 came back one position off, 2024 said no match again. none of it explains why a child was kept in a locked room for sixteen years -- or who killed him five years later. | prince of Baden, or something else entirely? | poll: the heir, and the killer covered it up / a gifted impostor whose lie outlived him / a genuine claimant, but the samples were never clean / unprovable -- the knife took the only real answer with it",,pending_post
2026-07-16,detail-crop,"no struggle. no note. just this. | the table still set for a meal, one chair knocked over -- two sets of oilskins gone from the hooks, the third left folded, untouched. | the full breakdown is up now.",,pending_post
2026-07-19,reader-pick,"the read still standing: @GrantMackay-wm1pe, on the Mary Celeste short -- three weeks running now, nothing's replaced it. | the 2006 UCL flash-over test settles what happened to the air below deck; it doesn't touch why a crew who survived that would abandon a seaworthy ship for good. | that's the gap we keep sitting with.",,pending_post
